,geo,text,user,location,entities,sentiment,country
514,, Do you or anyone you directly know have the #coronavirus / #COVID19US ?,MUSEME17,"Heaven, earth, moon, Planets ",[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
515,," If you develop fever, cough or difficulty breathing after having travelled, or have been in contact with someone diagnose…",PrairieMtHealth,"Manitoba, Canada",[],"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.34}",Canada
516,, BREAKING: all New Mexico public schools cancelled for the next 3 weeks.  #coronavirus #newmexico,scharff_jason,"Los Alamos, NM","[('New Mexico', 'GPE'), ('the next 3 weeks', 'DATE'), '']","{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.25}",USA
517,," 🚨 BREAKING 🚨""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""- #coronavirus http…",ryanisarapper,"Inglewood, CA","[('COVID19', 'MONEY')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
518,, MUST READ: Joe Biden Plagiarizes President ’s #Coronavirus Plan!,printingsharon,,"[('Joe Biden', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
519,, From : Big banks owe big thanks to Chris Dodd and Barney Frank in the age of #coronavirus …,tmfischer2,,"[('Chris Dodd', 'PERSON'), ('Barney Frank', 'PERSON'), '']","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",
520,, What a lousy day for USA but we now have a real win- watch  get CDC to say “yes” to covering all #CoronaVi…,impeach_him_pls,"South Jersey ,United States","[('USA', 'GPE'), ('CDC', 'ORG')]","{'neg': 0.085, 'neu': 0.718, 'pos': 0.197, 'compound': 0.6059}",USA
521,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,Kamalaallday,"Detroit, Michigan ","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
522,,"Okay let's establish this early. ""Cancelled"" ought to be spelled with two ""L's"" not just one. One ""L"" is just barbaric. #Coronavirus",CWoznicki,Los Angeles,"[('two', 'CARDINAL'), ('one', 'CARDINAL'), ('One', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",USA
523,, Bill Gates was right !!😳 #CoronavirusPandemic #CoronaOutbreak #CoronaVirusUpdate #coronavirus ,KaneBarb,,"[('Bill Gates', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
524,,"As a human race we will all get through this! We just have to band together as a community, country, continent, wor… ",KingSulli69,"Brooklyn, NY",[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
525,, WHAT WILL AMERICAN DEPTs OF CORRECTIONS DO WHEN THIS #CORONAVIRUS OUTBREAK REACHES THE PRISONS? WE HAVE OVER 2 MILLION…,TutorCambodia,#Cambodia #Phnom #Penh (0)16 977 331 uktutoringservices@yahoo.com,"[('AMERICAN', 'PERSON'), ('2 MILLION', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.2342}",Cambodia
526,, At any time this would be unacceptable. With #coronavirus just this afternoon declared a pandemic by the  this is now a…,Staircase2,London,[''],"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4588}",UK
527,," Lots of folks asking about the difference between colds (still in season), flu (still raging) and #coronavirus (just sta…",ElliottRHams,NYC,"[('season', 'DATE'), '']","{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",USA
528,, What a lousy day for USA but we now have a real win- watch  get CDC to say “yes” to covering all #CoronaVi…,SEval459,"Santa Rosa, CA","[('USA', 'GPE'), ('CDC', 'ORG')]","{'neg': 0.085, 'neu': 0.718, 'pos': 0.197, 'compound': 0.6059}",USA
529,," In phone call,  and  discuss the #coronavirus pandemic, according to Japanese media. No readout yet from the …",TheEvanMcLean,USA/Canada,"['', ('Japanese', 'NORP')]","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",USA
530,," 🚨 BREAKING: Gov. Andy Beshear is recommending that all Kentucky public and private schools close due to the #coronavirus,…",PFK55,,"[('Andy Beshear', 'PERSON'), ('Kentucky', 'GPE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
531,, Soap company Soulja Boy invested in is doing great amid #CoronaVirus outbreak:  ,showtimeJive,A land far from you,"[('Soulja Boy', 'PERSON'), '', ('CoronaVirus', 'ORG')]","{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}",Error
532,," Source at State Department says ""we are forced to run around like headless chickens because there is 0 leadership by Trump…",ToANewFuture,"Berkeley, CA","[('State Department', 'ORG'), ('Trump', 'ORG')]","{'neg': 0.128, 'neu': 0.766, 'pos': 0.106, 'compound': -0.128}",USA
533,,You want to know what this corona virus media coverage reminds me of?.. 9/11/2001. They showed us those towers cras… ,Seaner05717576,Los Angeles,[],"{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.0772}",USA
534,, The #Coronavirus outbreak has led to people panic-buying and clearing shelves. Please consider the elderly and weak - those…,roblewyou,,[],"{'neg': 0.137, 'neu': 0.755, 'pos': 0.108, 'compound': -0.1531}",
535,,Remember when Spongebob had the Suds? #coronavirus ,masonrg4,,"[('Spongebob', 'ORG'), ('Suds', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
536,, SPECIAL REPORT: The #WHO has declared the #coronavirus a #pandemic and countries are coming up with clever methods halti…,mw4reds,Malaysia aka Bolehland,"[('WHO', 'ORG'), '']","{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.7531}",Error
537,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",UptightGnome,"Windsor, Ontario",[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",Canada
538,,A woman in her 60s has died from #coronavirus in #LA County.  reports victim is not from the Southla… ,JeffVaughn,"Los Angeles, CA","[('60s', 'DATE'), '', '']","{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.6908}",USA
539,, The Serbian president coughing uncontrollably as a journalist asks him a question about #Coronavirus.😲…,lalamack123,,"[('Serbian', 'NORP'), ('about #Coronavirus', 'MONEY')]","{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.3612}",
540,," The Vatican's Office of Papal Charities may have closed due to the #coronavirus, but the pope's point man for the poor, Car…",SisterARod,"Malvern, PA 19355","[('Office of Papal Charities', 'ORG'), '']","{'neg': 0.158, 'neu': 0.762, 'pos': 0.08, 'compound': -0.4678}",USA
541,, Update of confirmed #COVID19 cases outside of China:#corona #coronavirus #CoronaVirusUpdate #Korona #koronawirus #Covid_19 #…,onionchip_,"Singapore, Yew Tee","[('China:#corona', 'GPE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Singapore
542,, What a lousy day for USA but we now have a real win- watch  get CDC to say “yes” to covering all #CoronaVi…,elizdelg,,"[('USA', 'GPE'), ('CDC', 'ORG')]","{'neg': 0.085, 'neu': 0.718, 'pos': 0.197, 'compound': 0.6059}",
543,, The US release of #BlackWidow is - at the moment - still scheduled for May 1st despite #CoronaVirus concerns... …,MegaWubba89,"Philadelphia, PA","[('US', 'GPE'), ('BlackWidow', 'ORG'), ('May 1st', 'DATE'), ('CoronaVirus', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
544,,"Urge your office / school to SLOW DOWN, and yet urge you government to act faster, better, and more responsive. I… ",catchmeupid,,[],"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.6901}",
545,,"#ContainAndCreateWhile Isaac Newton attended Cambridge in 1665, the school closed due to numerous outbreaks of th… ",antisubliminal,混沌 SPACE 3.1415,"['', ('Isaac Newton', 'PERSON'), ('Cambridge', 'GPE'), ('1665', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
546,, Reading Eagle Coronavirus Roundup: Berks County declares disaster emergency; Wolf orders schools closed in Montgomery Cou…,jeremymlong,"Annville, PA","[('Berks County', 'GPE'), ('Wolf', 'PERSON'), ('Montgomery Cou', 'ORG')]","{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.7717}",USA
547,," For accommodations that are REQUIRED BY LAW. So, imagine my surprise (all disabled people’s surprise) when because of…",Rose_bee,Oregon,[],"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3321}",USA
548,," BREAKING: The 2020 European Brass Band Championship and its associated events have been cancelled, organisers have confirmed -…",MarkAndrewGood,Inverclyde,"[('2020', 'DATE')]","{'neg': 0.096, 'neu': 0.766, 'pos': 0.139, 'compound': 0.2263}",UK
549,," The last patient in Wuhan has been dispatched, all temporary hospitals have been closed, life is going back to normal! #Co…",AmirulArmani,Jerantut-Subang-Port Dickson,"[('Wuhan', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Malaysia
550,,"   Thanks. She can't breathe, has a fever, cough, lung sounds but is not being tested for co…",dan7db,,[],"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.2382}",
551,, More people died in the city of Chicago over the weekend (due to some dem’s corruption &amp; addiction to power over people) th…,tmswfe,USA,"[('Chicago', 'GPE'), ('the weekend', 'DATE')]","{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.5965}",United States
552,,"How many people currently think they have #COVID19, the #CoronaVirus?",trayNTP,,"[('COVID19', 'MONEY'), ('CoronaVirus', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
553,,Me: Tired of hearing about the corona virus...let’s see what the #Starwars Twitter verse is fighting about tonight.… ,AmandaB_B8,"New Hampshire, USA","['', ('tonight', 'TIME')]","{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.6597}",USA
554,, 100% this #PresidentBiden  #coronavirus,LizzTex,"World's Live Music Capital, TX","[('100%', 'PERCENT'), '', ('PresidentBiden', 'ORG'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
555,, There is no objective evidence of panic in the #FamiliesFirst #CoronaVirus Response Ac or in the Biden and Sanders speeches w…,BearWhoTweetz78,,"['', ('FamiliesFirst', 'ORG'), ('Response Ac', 'PERSON'), ('Biden', 'GPE'), ('Sanders', 'NORP')]","{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.6705}",
556,,"#coronavirus thank you, fucked up my vacation plans ....can’t even watch no hoops... they canceled everything except work...",LuxuryKidd,"Beaumont, TX ",[''],"{'neg': 0.274, 'neu': 0.622, 'pos': 0.104, 'compound': -0.6249}",USA
557,," Sending my very best wishes to  for a speedy recovery from COVID-19, and any other Arsenal players &amp; staff who ma…",atillaotaner,Montreal Canada,"[('COVID-19', 'PRODUCT'), ('Arsenal players &amp', 'ORG')]","{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.7485}",Canada
558,, The only two people in the world who ain't worried about no #coronavirus ,cinnab0njovi,"Florida, USA","[('two', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.4168}",USA
559,," I just had dinner at a #restaurant and left a good tip. Make sure you tip all servers well, as less people will be eatin…",CairoCf,"Ohio, USA",[''],"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.743}",USA
560,, Please remember to wash your hands and scrub your eyes after reading any tweets from the Trump Cult.#StaySafe #BeBest #cor…,jimaldrich,San Francisco,"[('Trump', 'ORG'), '']","{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}",USA
561,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",BinkDaBoofman,"Maryland, USA",[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",USA
562,, WATCH: The Serbian president coughs uncontrollably as a journalist asks him a question about #coronavirus.😳#COVID19 #C…,flekana,,"[('Serbian', 'NORP'), ('about #coronavirus.😳#COVID19 #', 'MONEY')]","{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}",
563,," Despite suspension of Umrah due to so called created Corona virus and no people allowed in the haram after Isha prayers, Alla…",shikirikito,"Pulau Pangkor, Perak","[('Umrah', 'GPE'), ('Corona', 'GPE'), ('Isha', 'ORG')]","{'neg': 0.09, 'neu': 0.817, 'pos': 0.093, 'compound': 0.0202}",Malaysia
564,," JUST IN: An American Airlines pilot has tested positive for #coronavirus, according to the airline and a second source fami…",PSwayzeFan,,"[('American Airlines', 'ORG'), '', ('second', 'ORDINAL')]","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",
565,," Due to the inhuman condition of the Iranian prisons, prisoners, especially political prisoners, must be released immediate…",86Ehsan,Norway,"[('Iranian', 'NORP')]","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.765}",Norway
566,," Italy, today.I can’t believe my eyes.#CoronaVirusUpdate #COVID19 #coronavirus ",NatiValle1,,"[('Italy', 'GPE'), ('today', 'DATE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
567,," JUST IN: An American Airlines pilot has tested positive for #coronavirus, according to the airline and a second source fami…",YesMrGilbert,,"[('American Airlines', 'ORG'), '', ('second', 'ORDINAL')]","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",
568,," When you got it, you flaunt it.#coronavirus #toiletpapershortage ",midgets_levil,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
569,,  Joe Biden just plagerized President Trump's #coronavirus speech!,jay6018,Los Angeles/ Beijing,"[('Joe Biden', 'PERSON'), ('Trump', 'ORG'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
570,, Husband is in a supermarket suburban Melbourne says many people pushing trolleys overloaded with non p… ,mezjac,,"[('Melbourne', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
571,, WATCH: The Serbian president coughs uncontrollably as a journalist asks him a question about #coronavirus.😳#COVID19 #C…,Kingeric5Eli,,"[('Serbian', 'NORP'), ('about #coronavirus.😳#COVID19 #', 'MONEY')]","{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}",
572,, People of my hometown #Siena sing a popular song from their houses along an empty street to warm their hearts during the…,WethePeoplePets,,[''],"{'neg': 0.073, 'neu': 0.735, 'pos': 0.192, 'compound': 0.4404}",
573,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,SergioSirsay,"CT, USA","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
574,, Target in fairfield nj - empty #coronavirus fears ,polatra,MAGA,[''],"{'neg': 0.479, 'neu': 0.521, 'pos': 0.0, 'compound': -0.5574}",USA
575,, An expert team of nine members with 31 tons of medical supplies from China arrived at Italy on Thursday night (local time).…,AnilRam02479010,pokhara/nepal,"[('nine', 'CARDINAL'), ('31 tons', 'QUANTITY'), ('China', 'GPE'), ('Italy', 'GPE'), ('Thursday', 'DATE'), ('night', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Nepal
576,," STATEMENT: On the May Rebellion &amp; #coronavirus. XR – as part of a wider movement – exists to protect life, both now &amp; f…",ExtinctionR,Earth,"[('the May Rebellion &amp', 'ORG'), '', ('XR', 'GPE')]","{'neg': 0.065, 'neu': 0.823, 'pos': 0.113, 'compound': 0.2732}",USA
577,, Ghana confirms two cases of #coronavirus | TheCable  ,lekzidex,"Lagos, Nigeria","[('Ghana', 'PERSON'), ('two', 'CARDINAL'), '', ('TheCable', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Nigeria
578,, BREAKING: all New Mexico public schools cancelled for the next 3 weeks.  #coronavirus #newmexico,kyleoftheland,"Santa Fe, NM","[('New Mexico', 'GPE'), ('the next 3 weeks', 'DATE'), '']","{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.25}",USA
579,,Thread on #coronavirus from the #Oklahoma governor. ,mikebreslinpro,"Oklahoma City, OK","['', ('Oklahoma', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
580,, #BREAKING Universal Studios Hollywood theme park to close for two weeks to help contain #coronavirus,henrygonzalezj1,NYC,"['', ('BREAKING Universal', 'ORG'), ('Studios Hollywood', 'PERSON'), ('two weeks', 'DATE'), '']","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",USA
581,, WATCH: The Serbian president coughs uncontrollably as a journalist asks him a question about #coronavirus.😳#COVID19 #C…,Verylongrange,In Wild and Lonely Places  ,"[('Serbian', 'NORP'), ('about #coronavirus.😳#COVID19 #', 'MONEY')]","{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}",Error
582,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,dinerlee,"North Carolina, USA","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
583,," Europe is spinning out of control in its effort to control #Coronavirus - with new cases in #Italy totaling 12,462 - up 2,…",Gracie29526040,"Owings, MD","[('Europe', 'LOC'), '', ('Coronavirus', 'MONEY'), ('Italy', 'GPE'), ('12,462 - up', 'QUANTITY'), ('2', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
584,, These are 7 simple steps to protect yourself and others from #COVID19. 👉  #coronavirus …,Chucksbeee,"Calgary, Alberta","[('7', 'CARDINAL'), ('COVID19', 'MONEY'), '']","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}",Canada
585,, An expert team of nine members with 31 tons of medical supplies from China arrived at Italy on Thursday night (local time).…,fieldfare123,Tokyo,"[('nine', 'CARDINAL'), ('31 tons', 'QUANTITY'), ('China', 'GPE'), ('Italy', 'GPE'), ('Thursday', 'DATE'), ('night', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Japan
586,, Ima gonna get my yelling mom voice on right here:THE CORONA VIRUS IS NOT ABOUT ABORTION FOR HELL SAKES. #coronavirus ht…,pineeland,,[''],"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.7456}",
587,,#KeepSafe #AustraliaAvoid #MassGatherings enable #SocialDistancing #FlattenTheCurve you can prevent the spread… ,NthCoastMedia, Australia,"['', ('MassGatherings', 'ORG'), '']","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.0258}",Australia
588,," In phone call,  and  discuss the #coronavirus pandemic, according to Japanese media. No readout yet from the …",Clive_A_Boyce,Leicester England UK,"['', ('Japanese', 'NORP')]","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",UK
589,," #NEW ""President Trump Didn't Start #coronavirus But He Is Working Hard To Stop It. It's Disgraceful That The Democrats Ar…",HMR8991,United States of America,"[('NEW', 'ORG'), ('Trump Did', 'PERSON'), ('Working Hard To Stop It', 'WORK_OF_ART'), ('Democrats', 'NORP')]","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3818}",United States
590,,"  The Republican Governor for Ohio Mike DeWine just confirmed that only 1,000 tests are available to 11.69 Mil…",Ianhiner,"Dublin, OH","[('Republican', 'NORP'), ('Ohio', 'GPE'), ('Mike DeWine', 'PERSON'), ('only 1,000', 'CARDINAL'), ('11.69', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
591,, 🚨- Hackers using fake live #Coronavirus map to spread #malware ⚠️🤐More: #Security #CoronavirusPand…,a_patriciann,,"['', ('CoronavirusPand', 'ORG')]","{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}",
592,, In 2006 Sen. Barack Obama got tested PUBLICLY for HIV to de-stigmatize testing.It is irresponsible for the POTUS to not get t…,PragObots,USA,"[('2006', 'DATE'), ('Barack Obama', 'PERSON')]","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.4404}",United States
593,," . need to stop it, now. on the Left's politicization of the #coronavirus.#AMERICAFirst …",nicedays4it,"Las Vegas, NV","[('Left', 'ORG')]","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",USA
594,, China should be blamed for lying about #CoronaVirus. Anyone who thinks they have been totally honest with the world abou…,rabie_marc,Abu Dahbi,"[('China', 'GPE'), ('about #CoronaVirus', 'MONEY')]","{'neg': 0.24, 'neu': 0.627, 'pos': 0.133, 'compound': -0.4417}",Abu Dhabi - United Arab Emirates
595,, College to Temporarily Shift From In-Person to Online Classes#ArizonaWestern #AWC #coronavirus… ,KAWCnews,"Yuma, AZ","[('Online', 'GPE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
596,," #NEW ""President Trump Didn't Start #coronavirus But He Is Working Hard To Stop It. It's Disgraceful That The Democrats Ar…",cml2122,USA,"[('NEW', 'ORG'), ('Trump Did', 'PERSON'), ('Working Hard To Stop It', 'WORK_OF_ART'), ('Democrats', 'NORP')]","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3818}",United States
597,," Soooo The Economy is about to take a hit and the Democrats answer is to Promise Americans Two weeks of Sick Leave.??Ok,…",WARMGLASS,"Texas, USA","[('Democrats', 'NORP'), ('Promise Americans', 'PRODUCT'), ('Two weeks', 'DATE'), ('Sick Leave.??Ok', 'PERSON')]","{'neg': 0.147, 'neu': 0.761, 'pos': 0.092, 'compound': -0.3313}",USA
598,," A scathing, damning indictment of the government’s lousy, execrable response to the looming #coronavirus disaster from P…",MisterShades,Airstrip One,[''],"{'neg': 0.489, 'neu': 0.511, 'pos': 0.0, 'compound': -0.8885}",USA
599,, WTH? Pelosi trys to take credit for President  &amp; 's proposal on March 9th for paid leave &amp; free #coro…,Cathy_DobieMom,,"[('March 9th', 'DATE'), ('&amp', 'ORG'), '']","{'neg': 0.196, 'neu': 0.588, 'pos': 0.217, 'compound': 0.1449}",
600,, Tom Hanks' son Chet gave an update on his parent’s condition after they tested positive for #CoronaVirus. More: …,e85_srt4,,"[(""Tom Hanks'"", 'PERSON'), '', ('CoronaVirus', 'ORG')]","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5574}",
601,, This Italian man has had it with the #coronavirus panic 🦠 ,vitoriabaldo_,"Porto Alegre, Brazil","[('Italian', 'NORP'), '', ('\U0001f9a0', 'GPE')]","{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5106}",Brazil
602,, How are you Coping with #Coronavirus? #futurama ,MarcBaker3,"Washington, PA.","['', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
603,, Hey #FPLCommunity. A friend just moved to London as this #coronavirus outbreak happened. He is in need of a job but it's…,ZhouFPL,Malaysia,"[('London', 'GPE'), '']","{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.2732}",Malaysia
604,," If this causes souls to recognize the fragility of life, and if #coronavirus leads us to Confession, this is a silver…",joannejohnson4,windsor ontario canada,[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada
605,," ""Killing the Coronavirus."" If it were only so easy. #coronavirus #collage #art ",rebelsatwork,,"[('Killing the Coronavirus', 'WORK_OF_ART'), '']","{'neg': 0.243, 'neu': 0.551, 'pos': 0.206, 'compound': -0.1677}",
606,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,sue1936,"Cornwall on Hudson , ny","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
607,, Who defunded #Coronavirus studies? #JoeBiden #Trump Read below from 2015.,gringojack,"Rio de Janeiro, Brazil","['', '', ('Trump Read', 'ORG'), ('2015', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Brazil
608,, I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his we…,EvilGummy,"Los Angeles, CA","[('Alex Jones', 'PERSON'), '']","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",USA
609,, #BREAKING American Airlines pilot tests positive for #coronavirus #COVID19US,tefiebaker,United States,"['', ('BREAKING American Airlines', 'ORG'), '']","{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5574}",United States
610,," We need to strike a balance between safety, security, and health, side-by-side with awareness, without enabling panic. Our sc…",BGEC_Bobcats,,[],"{'neg': 0.064, 'neu': 0.598, 'pos': 0.338, 'compound': 0.7508}",
611,, Apparently the #CoronaVirus panic has hit Pennsylvania. My cousin just sent a pic from his grocery store there... …,BuffaloInABox,"Buffalo, New York","['', ('CoronaVirus', 'ORG'), ('Pennsylvania', 'GPE')]","{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.5106}",USA
612,," New deadly #coronavirus not infectious enough to pose global threat, researchers say ",klazimi1,"New York, USA",[''],"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",USA
613,, 📢😡DISGUSTING!Media are now a DANGER to America!They are OUT OF CONTROL and causing panic with their coverage! They are…,Vivangel999,"Queens, NY",[],"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.8522}",USA
614,, India recorded its first #coronavirus-related death late on Thursday after a 76-year-old man from Kalaburgi in #Karnataka pa…,71djt,A Crime-infested Redneck Reich,"[('India', 'GPE'), '', ('Thursday', 'DATE'), ('Kalaburgi', 'GPE'), ('Karnataka', 'PERSON')]","{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.5994}",Error
615,, #Newscast discusses the #Coronavirus crisis...Watch on BBC One straight after #bbcqt or listen now on .https…,mojos55,Lancashire,"['', ('BBC One', 'ORG')]","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2263}",UK
616,,"Singapore Was Ready for #COVID19—Other Countries, Take Note  #Coronavirus #COVID_19… ",DanBuk4,,"[('Singapore', 'GPE'), ('Ready', 'PERSON'), ('Countries', 'PERSON'), '']","{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",
617,,Be a leader. Now is not the time to be a sheep and follow.How can you contribute?How can you can help?How can yo… ,SpeakServeGrow,"Portland, Oregon",[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
618,, Lol. It seems to be infecting the same people #coronavirus #TDS,MIKE31308044,,"['', ('TDS', 'ORG')]","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",
